geo_dma,dma_code,lat,lon,tvHomes,popShare,population,income,density,median_age,college_completion_perc,dma_region
Lubbock,651,33.5665,-101.8867,160440,0.14,964841,56580.91,56580.91,39.86,22.99,College Towns/Youthful Areas
Omaha,652,41.2634,-96.0453,416210,0.363,115608039,60130.88,60130.88,41.67,27.09,West Coast Mid Cities
Panama City,656,30.1985,-85.6153,141740,0.124,59248165,54394.64,54394.64,41.46,23.49,Rust Belt/Industrial Metros
Sherman-Ada,657,33.6266,-96.6195,126050,0.11,5340274,50377.73,50377.73,42.18,19.27,Southern Heartland Suburbs
Green Bay-Appleton,658,44.5151,-87.9895,438070,0.382,23833637,59066.61,59066.61,42.16,23.11,West Coast Mid Cities
Nashville,659,36.1714,-86.7844,1011570,0.882,165095464,53574.26,53574.26,41.65,23.17,Rust Belt/Industrial Metros
San Angelo,661,31.4424,-100.4503,56680,0.049,163694,60130.45,60130.45,42.02,21.88,West Coast Mid Cities
Abilene-Sweetwater,662,32.4543,-99.7384,113080,0.099,11387345,54942.83,54942.83,41.78,20.91,Other Minor Markets
Madison,669,43.0809,-89.3921,384830,0.336,20345825,55404.66,55404.66,42.29,22.92,Other Minor Markets
Ft. Smith-Fay-Sprngdl-Rgrs,670,35.3494,-94.3695,304670,0.266,296926316,57647.06,57647.06,41.71,25.96,Other Minor Markets
Tulsa,671,36.1284,-95.9037,531230,0.463,53061001,59025.69,59025.69,41.69,27.2,West Coast Mid Cities
Columbus-Tupelo-W Pnt-Hstn,673,34.2637,-88.7298,181860,0.159,40167808,53166.66,53166.66,42.08,22.54,Rust Belt/Industrial Metros
Peoria-Bloomington,675,40.7518,-89.6153,235690,0.206,7852014,56452.2,56452.2,42.67,23.14,Other Minor Markets
Duluth-Superior,676,46.7797,-92.1334,164380,0.143,9894623,62780,62780,42.64,29.68,Other Minor Markets
Wichita-Hutchinson Plus,678,37.6894,-97.344,439760,0.383,18082952,55187.12,55187.12,42.5,21.97,Other Minor Markets
Des Moines-Ames,679,41.5725,-93.6104,433950,0.378,138279563,53934.89,53934.89,41.97,22.88,Rust Belt/Industrial Metros
Davenport-R.Island-Moline,682,41.5558,-90.6052,294680,0.257,52868967,53303.15,53303.15,41.46,22.02,Rust Belt/Industrial Metros
Mobile-Pensacola (Ft Walt),686,30.6782,-88.1161,528320,0.461,25886577,59746.71,59746.71,42.36,26.43,West Coast Mid Cities
Minot-Bsmrck-Dcknsn(Wlstn),687,48.2375,-101.2779,167010,0.146,3470690,58652.69,58652.69,42.24,22.91,West Coast Mid Cities
Huntsville-Decatur (Flor),691,34.699,-86.6412,385470,0.336,261186422,52785.1,52785.1,41.29,23.14,Northeast Urban Hubs
Beaumont-Port Arthur,692,30.0849,-94.1451,165120,0.144,174593690,55915.95,55915.95,41.95,25.41,Small Coastal Cities
Little Rock-Pine Bluff,693,34.7255,-92.3584,547950,0.478,105182162,54012.77,54012.77,41.78,23.15,Rust Belt/Industrial Metros
Montgomery-Selma,698,32.347,-86.2663,230420,0.201,76568459,55278.25,55278.25,40.46,26.55,Growing Sunbelt Cities
La Crosse-Eau Claire,702,43.8234,-91.2279,206480,0.18,31907945,53330.97,53330.97,41.27,21.67,Rust Belt/Industrial Metros
Wausau-Rhinelander,705,45.6361,-89.4255,174760,0.152,24160006,54162.93,54162.93,43.22,21.85,Other Minor Markets
Tyler-Longview(Lfkn&Ncgd),709,32.5192,-94.7622,265690,0.232,16751988,53539.45,53539.45,42.08,23.32,Rust Belt/Industrial Metros
Hattiesburg-Laurel,710,31.3073,-89.3169,108380,0.095,17282857,50064.5,50064.5,42.09,19.23,Southern Heartland Suburbs
Meridian,711,43.6182,-116.398,65300,0.057,2102368,48311.45,48311.45,42.24,19.85,Southern Heartland Suburbs
Baton Rouge,716,30.4422,-91.1314,330910,0.289,4277873,55344.89,55344.89,42.74,23.48,Other Minor Markets
Quincy-Hannibal-Keokuk,717,39.7097,-91.3936,99340,0.087,32209390,53751.98,53751.98,42.21,21.63,Rust Belt/Industrial Metros
